CODE,EVENT.PASS,SINGLE.CAM,MOVEMENT,CAM.FUNCT,DUAL.PRESENCE,SINGLE.RECORDED,WET.DRY,TEMPERATURE,DATE,TIME,D.COUNT,S.COUNT,D.AD.COUNT,S.AD.COUNT,D.SEX,D.AD.SEX,S.AD.SEX,D.SPRAINT,S.SPRAINT,D.VOCAL,S.VOCAL,D.BEDDING,S.BEDDING,D.PLAY,S.PLAY,D.LOAF,S.LOAF,D.GROOMROLL,S.GROOMROLL,D.BEH.COUNT,S.BEH.COUNT
F1.276,73,CLOSE,IN,y,1,1,W,13,07/06/2014,11:07,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.276,73,ROSE,NO.TRIGGER,NO.TRIGGER,1,0,U,13,07/06/2014,11:07,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.819,74,CLOSE,OUT,y,1,1,U,-4,19/03/2011,03:25,3,1,1,1,U,U,U,0,0,1,1,1,0,0,0,0,0,0,0,2,1
F1.819,74,ROSE,BEDDING,y,1,1,U,-4,19/03/2011,03:25,3,3,1,1,U,U,U,0,0,1,0,1,1,0,0,0,0,0,0,2,1
F1.462,75,CLOSE,IN,y,1,1,U,0,12/01/2013,00:54,1,1,1,1,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.462,75,ROSE,IN,y,1,1,U,0,12/01/2013,00:54,1,1,1,1,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.210,76,CLOSE,IN,y,1,1,W,3,13/03/2014,05:24,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.210,76,ROSE,IN,y,1,1,U,3,13/03/2014,05:24,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1969,77,CLOSE,TU,TU,1,0,U,12,06/09/2015,17:49,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1969,77,ROSE,IN,y,1,1,U,12,06/09/2015,17:49,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1724,78,CLOSE,OUT,y,1,1,U,6,17/11/2014,05:46,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1724,78,ROSE,TU,TU,1,0,U,6,17/11/2014,05:46,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.683,79,CLOSE,IN,y,1,1,U,6,02/10/2012,05:40,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.683,79,ROSE,IN,y,1,1,W,6,02/10/2012,05:40,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.165,80,CLOSE,OUT,y,1,1,W,4,06/03/2014,00:13,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
